Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
1;13226.9319;8370.441295;40132.52731;23111.83971;35995.22735;24481.52452;7788.532897;10342.58619;14504.01407;53394.1986;36447.04706;20117.7056;20011.72397;12095.25469;60206.88697;31096.26427;21104.57371;15828.37582;55063.58725;16334.70375;2965.891938;9422.850844;21895.86891;16414.95043;17654.03053;752.6835332;17151.19672;14023.57612;8473.255469;9356.295735;31184.32632
2;13077.35309;7965.712449;39105.55708;22984.66359;35595.88472;24716.45548;7664.431756;10036.02536;13703.93912;53694.43135;35354.80283;19521.0096;19096.24236;11709.66145;59584.8703;31579.56285;18431.89432;15131.29057;51220.34398;15273.35743;2684.808181;8832.181162;22317.25762;15635.22488;16629.41214;701.1153455;16218.24077;13761.73915;8549.598569;9281.353617;30640.87056
3;12769.87306;7821.484217;38230.49685;22796.63633;35499.94374;24327.6239;7599.844269;9928.893592;13246.57383;52519.61723;34276.97986;18975.94516;18481.01666;11424.74642;58696.73423;31669.50002;17809.1664;14373.25467;47188.44683;14387.26197;2416.245524;8328.041936;20712.68701;14854.43323;15727.62502;679.2104691;15477.11341;13489.0028;8549.483816;9278.56548;30017.14551
4;12559.13595;7809.781158;37242.80614;22552.01578;35492.05143;24133.10216;7508.232222;9928.081367;12822.33089;51863.86241;33781.21293;18476.47712;17786.01014;11045.92968;57833.6885;30874.77163;17329.22784;13948.12926;43872.37409;13637.95753;2243.235881;7969.908701;20542.61113;14260.00838;15475.73011;646.0153138;15257.88704;13398.79532;8401.725236;9309.120912;29841.99964
5;12484.87309;7664.662535;37251.84985;22486.96903;35322.9779;24002.21597;7531.821941;10010.30465;12659.44517;51628.13459;33520.28474;18476.39717;17494.58686;10850.8326;56524.4838;30325.57075;17223.2486;13691.09653;40657.82764;13413.33905;2122.893723;7888.962572;20356.30802;14056.07685;15149.49668;621.437731;15079.24843;13285.77612;8590.492627;9286.325847;29699.57069
6;12659.85765;7894.704632;37771.3831;22668.39433;35507.52826;24588.45673;7907.415451;10520.92581;13116.11879;52845.95402;34027.13927;18997.6307;17487.97475;11235.33283;58330.46176;29477.48786;17441.29149;13947.88002;38866.03246;13048.32382;2087.58085;8066.225493;20284.55483;13945.41563;15020.93275;625.0565042;15257.16473;13206.3655;8518.006001;9356.215423;29698.80179
7;13189.5024;8198.389343;39804.68694;22966.32393;36124.28032;25584.5845;8732.109596;12004.23023;13859.91059;56746.87977;36245.99712;20720.58503;18433.88496;11577.13875;60640.13167;32110.01148;18694.67526;15373.35795;37767.53809;13886.58064;2234.264216;8696.227552;20895.12815;14550.24276;15475.85688;639.5414303;15966.75036;13470.05794;8624.201614;9489.505138;29699.03684
8;14179.57193;8747.678114;44222.77308;24341.55515;36976.98911;26044.42588;9236.971144;12629.75801;14378.02488;59191.73565;38538.83627;22795.1711;19970.11287;14083.02586;65153.11971;39901.63987;20570.0157;18989.36542;38098.5877;15996.33928;2604.857395;9918.252233;22079.35352;16603.21479;16610.7627;691.3719893;18086.65649;14113.04913;9091.135185;9550.852116;29959.21943
9;14354.12695;9247.212466;43986.71201;23769.72688;36683.31315;24073.16775;9199.098126;12286.2173;15272.87163;59049.8565;41811.24927;21840.16672;20845.95216;14532.74128;63655.42185;35789.3478;21981.79116;19292.94591;36152.07989;16319.59594;2751.394942;10995.95634;23962.52166;19240.71505;18383.90748;767.6631609;18579.35127;14780.93335;9208.623601;9294.626928;30019.18098
10;14974.68116;9962.27285;44301.90337;23607.76085;36653.19602;24844.35008;9274.80367;12368.68815;16545.47312;59331.57905;43082.73957;20569.31511;22606.71101;15205.80799;62545.76146;34826.32765;23129.96063;20434.71731;38053.32439;17540.04152;3054.027918;11891.33126;26418.11947;21331.06131;20455.12419;847.5513492;19154.68966;14805.64405;9147.025461;9046.323723;30721.5498
11;15473.98162;10106.42131;44718.49974;23176.43093;36730.25477;25193.7201;9326.527911;12487.72388;17827.92267;61922.21601;44335.19089;20494.29658;24413.9884;16695.47313;62122.49502;35955.50592;23332.96546;21372.22878;42214.98161;18329.23422;3464.249514;12769.2198;27972.12319;22035.6724;22023.70281;901.7137301;19261.76017;14975.75142;8814.39143;9121.456441;30919.51012
12;15657.78206;10274.0441;46057.45554;23512.55123;36705.80989;25339.93444;9374.067063;12917.80272;18113.15821;61619.56489;44451.93232;21672.36689;26044.2511;17660.95456;63665.32717;39253.44173;23662.76147;22852.44691;45595.28436;18794.43073;3484.91024;13459.86767;30708.70425;22372.43384;22586.11894;899.2222974;19092.18292;14934.38194;8907.10239;8954.191907;31307.99335
13;15449.03058;9884.249526;43528.09342;24134.4611;36376.1017;24459.81315;8917.944376;12297.71743;17628.64016;58079.58156;41821.96725;20416.63955;24379.7606;15853.77305;62112.26698;39231.92858;22954.99388;22248.7509;45168.73599;18239.47428;3349.217768;13116.77722;29782.64758;21284.73246;21607.82038;884.2949137;18959.05943;15817.25973;8821.965045;8939.266544;31520.60793
14;15237.44795;9606.588157;40725.65004;23367.14355;35598.82839;24580.33062;8894.528746;11971.90206;17450.65312;60060.42771;43010.96327;20019.13135;23043.05532;14295.22115;59562.0403;37718.86361;22131.83524;19922.45098;43397.78796;17649.43777;3215.96146;12429.8091;27289.45321;19940.42001;19731.14093;807.0505416;18463.91677;14964.7307;8622.792073;8878.291783;31344.35392
15;15006.88835;9965.006152;43032.1845;22976.56463;35472.21668;24590.80633;8942.345079;12119.2597;17479.47136;61879.15069;43430.08546;20547.14183;23566.21389;14924.12965;62365.35676;37065.69073;22880.6051;19252.95018;43530.46906;17848.76089;3155.850344;12301.39977;26758.45756;19703.90526;19395.314;814.4655979;18751.94571;15007.70236;8773.189321;9015.515951;30975.14218
16;14990.87163;10004.23559;44187.09678;23555.5249;35708.70644;24602.36259;9016.20096;12299.02547;17530.1102;62430.24107;44189.94222;20935.94874;23985.03295;15677.98891;63669.0663;37574.42435;23048.00977;19119.31657;43530.54301;18329.53971;3153.166619;12186.94425;28109.29246;20154.52774;19615.03081;803.616998;19036.17192;14784.3083;8663.500122;9043.436708;30912.12445
