hour_idx,load_mwh
1,23111.83971
2,22984.66359
3,22796.63633
4,22552.01578
5,22486.96903
6,22668.39433
7,22966.32393
8,24341.55515
9,23769.72688
10,23607.76085
11,23176.43093
12,23512.55123
13,24134.4611
14,23367.14355
15,22976.56463
16,23555.5249
17,23765.78549
18,25490.43683
19,26784.40091
20,28313.28706
21,26796.97908
22,26464.76937
23,25326.32953
24,24122.8443
25,24284.61812
26,24203.00995
27,23245.12254
28,23041.85393
29,22696.22793
30,22841.5663
31,23484.10736
32,25010.13743
33,24541.32754
34,25188.43328
35,26064.23077
36,27470.36877
37,28691.02166
38,27668.7374
39,27195.87784
40,27512.20854
41,27702.7408
42,28717.61041
43,28725.3603
44,28403.11144
45,29122.46967
46,28402.49514
47,27722.59219
48,26198.43987
49,24781.94056
50,24700.40358
51,23743.35191
52,23540.26065
53,23194.9362
54,23340.14776
55,23982.12822
56,25506.82686
57,25038.426
58,25684.96715
59,26560.00053
60,27964.91171
61,29184.4996
62,28163.10727
63,27690.66026
64,28006.71497
65,28197.08099
66,29211.06516
67,29218.80828
68,28896.84058
69,29615.57118
70,28896.22481
71,28216.91507
72,26694.09253
73,25090.45829
74,25011.44364
75,24083.99809
76,23887.1894
77,23552.54747
78,23693.26695
79,24315.38793
80,25792.92044
81,25339.00943
82,25965.55001
83,26813.51448
84,28174.96513
85,29356.82541
86,28367.02956
87,27909.19757
88,28215.47522
89,28399.95232
90,29382.56917
91,29390.07276
92,29078.06504
93,29774.56192
94,29077.46832
95,28419.17283
96,26943.45839
97,24957.65109
98,24878.94051
99,23955.06417
100,23759.01288
101,23425.65879
102,23565.83672
103,24185.56352
104,25657.40987
105,25205.24569
106,25829.37509
107,26674.07623
108,28030.28744
109,29207.59944
110,28221.61273
111,27765.54267
112,28070.64164
113,28254.40879
114,29233.24412
115,29240.71884
116,28929.91185
117,29623.72832
118,28929.31743
119,28273.55534
120,26803.52006
121,23956.83342
122,23818.12574
123,23613.0493
124,23346.24802
125,23275.30322
126,23473.17908
127,23798.12315
128,25298.05209
129,24674.37386
130,24497.72172
131,24027.28139
132,24393.87907
133,25072.17999
134,24235.28668
135,23809.29242
136,24440.74933
137,24670.07509
138,26551.10746
139,27962.40044
140,29629.91681
141,27976.11912
142,27613.78663
143,26372.1199
144,25059.50984
145,23836.19486
146,23696.24462
147,23489.33109
148,23220.1398
149,23148.55947
150,23348.20791
151,23676.06284
152,25189.42822
153,24560.16305
154,24381.92846
155,23907.2739
156,24277.15557
157,24961.53275
158,24117.14251
159,23687.33217
160,24324.4457
161,24555.82577
162,26453.70853
163,27877.64394
164,29560.09801
165,27891.48552
166,27525.90723
167,26273.11759
168,24948.74911
169,24613.41501
170,24533.68673
171,23597.86486
172,23399.27866
173,23061.61438
174,23203.60478
175,23831.34451
176,25322.22153
177,24864.21097
178,25496.41022
179,26352.03318
180,27725.77991
181,28918.3143
182,27919.579
183,27457.61205
184,27766.65588
185,27952.7991
186,28944.29057
187,28951.86193
188,28637.03627
189,29339.82364
190,28636.43416
191,27972.19321
192,26483.15068
193,24580.5063
194,24498.02621
195,23529.90468
196,23324.46433
197,22975.14565
198,23122.03682
199,23771.44283
200,25313.77709
201,24839.95841
202,25493.97787
203,26379.13243
204,27800.2937
205,29033.98812
206,28000.78171
207,27522.87008
208,27842.58049
209,28035.1484
210,29060.86095
211,29068.69363
212,28743.00185
213,29470.04574
214,28742.37896
215,28055.21189
216,26514.77543
217,24802.61532
218,24722.52457
219,23782.44816
220,23582.95913
221,23243.75971
222,23386.39565
223,24016.98928
224,25514.6443
225,25054.55147
226,25689.62491
227,26549.13779
228,27929.13002
229,29127.08604
230,28123.81018
231,27659.74297
232,27970.19182
233,28157.18131
234,29153.1804
235,29160.78619
236,28844.52924
237,29550.5117
238,28843.92439
239,28176.66358
240,26680.8514
241,24984.36839
242,24906.04146
243,23986.6681
244,23791.57236
245,23459.84304
246,23599.33775
247,24216.04399
248,25680.71654
249,25230.75622
250,25851.8436
251,26692.42767
252,28042.02869
253,29213.60245
254,28232.42146
255,27778.57429
256,28082.18619
257,28265.05767
258,29239.12214
259,29246.56043
260,28937.26831
261,29627.70311
262,28936.67679
263,28284.11089
264,26821.24058
265,25161.05317
266,25086.61779
267,24212.92206
268,24027.51935
269,23712.27149
270,23844.83562
271,24430.90177
272,25822.80435
273,25395.19961
274,25985.42923
275,26784.25018
276,28066.79838
277,29180.16432
278,28247.73178
279,27816.4333
280,28104.96072
281,28278.74651
282,29204.41611
283,29211.48483
284,28917.55942
285,29573.69104
286,28916.99728
287,28296.8531
288,26906.66323
289,24102.76327
290,23972.63023
291,23780.23123
292,23529.9231
293,23463.36397
294,23649.00752
295,23953.86416
296,25361.07032
297,24775.9467
298,24610.21487
299,24168.85627
300,24512.79157
301,25149.16121
302,24364.00307
303,23964.34297
304,24556.7644
305,24771.91368
306,26536.66417
307,27860.71368
308,29425.14733
309,27873.5843
310,27533.65052
311,26368.74129
312,25137.27431
313,23911.45349
314,23776.69872
315,23577.46659
316,23318.26867
317,23249.34566
318,23441.58242
319,23757.26616
320,25214.44984
321,24608.54531
322,24436.92744
323,23979.89381
324,24336.04412
325,24995.01469
326,24181.97133
327,23768.11714
328,24381.57866
329,24604.36905
330,26431.7954
331,27802.86908
332,29422.86424
333,27816.1968
334,27464.19013
335,26257.90866
336,24982.70562
337,24564.61259
338,24487.2153
339,23578.75376
340,23385.97357
341,23058.18146
342,23196.02054
343,23805.40724
344,25252.69595
345,24808.0761
346,25421.79194
347,26252.39932
348,27585.98225
349,28743.65088
350,27774.11529
351,27325.65472
352,27625.66314
353,27806.36415
354,28768.86769
355,28776.21769
356,28470.59649
357,29152.83669
358,28470.01199
359,27825.19124
360,26379.68338
361,24482.7705
362,24405.27195
363,23495.62185
364,23302.58944
365,22974.36849
366,23112.3879
367,23722.57187
368,25171.7541
369,24726.55254
370,25341.07132
371,26172.76539
372,27508.09308
373,28667.27631
374,27696.47226
375,27247.42496
376,27547.82588
377,27728.76331
378,28692.5261
379,28699.88572
380,28393.86467
381,29076.99745
382,28393.27941
383,27747.61502
384,26300.21598
385,24550.6546
386,24474.69311
387,23583.08452
388,23393.88061
389,23072.16942
390,23207.45142
391,23805.53334
392,25225.97326
393,24789.60159
394,25391.93234
395,26207.13103
396,27515.97455
397,28652.16716
398,27700.61752
399,27260.47638
400,27554.91931
401,27732.26812
402,28676.91617
403,28684.12982
404,28384.17823
405,29053.76212
406,28383.60457
407,27750.74594
408,26332.05384
409,24501.30419
410,24425.37269
411,23534.1161
412,23344.98688
413,23023.40269
414,23158.63129
415,23756.47709
416,25176.35624
417,24740.15685
418,25342.2498
419,26157.12667
420,27465.45347
421,28601.19753
422,27650.02355
423,27210.05617
424,27504.38286
425,27681.66166
426,28625.93677
427,28633.14757
428,28333.3144
429,29002.63395
430,28332.74096
431,27700.13218
432,26282.00016
433,24591.28219
434,24518.85462
435,23668.72586
436,23488.32419
437,23181.57979
438,23310.56814
439,23880.82581
440,25235.18336
441,24819.11278
442,25393.42161
443,26170.69525
444,27418.64813
445,28501.98226
446,27594.70105
447,27175.03637
448,27455.78108
449,27624.8792
450,28525.57988
451,28532.45793
452,28246.46083
453,28884.89403
454,28245.91386
455,27642.49738
456,26289.80634
457,23857.95208
458,23734.48529
459,23551.94221
460,23314.45648
461,23251.30694
462,23427.44063
463,23716.68054
464,25051.80054
465,24496.65072
466,24339.40874
467,23920.65937
468,24246.97609
469,24850.74678
470,24105.8095
471,23726.62256
472,24288.69635
473,24492.82429
474,26167.1729
475,27423.39606
476,28907.68933
477,27435.60736
478,27113.08718
479,26007.8521
480,24839.4688
481,23830.30088
482,23701.32957
483,23510.64818
484,23262.57464
485,23196.6097
486,23380.59595
487,23682.73104
488,25077.37462
489,24497.47459
490,24333.2223
491,23895.80385
492,24236.66873
493,24867.35729
494,24089.20851
495,23693.1163
496,24280.249
497,24493.47757
498,26242.47357
499,27554.70287
500,29105.17032
501,27567.45859
502,27230.5595
503,26076.04979
504,24855.57651
505,24758.49373
506,24682.49816
507,23790.48954
508,23601.20074
509,23279.3452
510,23414.6879
511,24013.03816
512,25434.11539
513,24997.54794
514,25600.14893
515,26415.71339
516,27725.14414
517,28861.84653
518,27909.86995
519,27469.53134
520,27764.10638
521,27941.53476
522,28886.60664
523,28893.82353
524,28593.73736
525,29263.62167
526,28593.16344
527,27960.02087
528,26540.69224
529,25039.28394
530,24961.91366
531,24053.76916
532,23861.05625
533,23533.37855
534,23671.16952
535,24280.34355
536,25727.12716
537,25282.66248
538,25896.16414
539,26726.48163
540,28059.59915
541,29216.86376
542,28247.66654
543,27799.36248
544,28099.26619
545,28279.90414
546,29242.07177
547,29249.4192
548,28943.90467
549,29625.90676
550,28943.32037
551,28298.72465
552,26853.72128
553,25177.10174
554,25097.05289
555,24157.4683
556,23958.08364
557,23619.06168
558,23761.623
559,24391.88672
560,25888.7582
561,25428.90609
562,26063.64726
563,26922.71048
564,28301.98072
565,29499.31001
566,28496.55903
567,28032.73462
568,28343.02104
569,28529.91271
570,29525.39072
571,29532.99253
572,29216.90103
573,29922.51414
574,29216.2965
575,28549.38479
576,27054.35517
577,25295.36467
578,25216.18525
579,24286.80566
580,24089.58655
581,23754.24677
582,23895.2597
583,24518.67802
584,25999.2917
585,25544.43412
586,26172.28126
587,27022.01403
588,28386.30377
589,29570.62864
590,28578.76872
591,28119.98199
592,28426.89834
593,28611.76014
594,29596.42608
595,29603.94532
596,29291.28695
597,29989.23627
598,29290.68899
599,28631.02073
600,27152.22891
601,25268.11128
602,25189.15682
603,24262.4178
604,24065.75903
605,23731.37203
606,23871.98431
607,24493.63136
608,25970.03829
609,25516.47307
610,26142.53635
611,26989.85484
612,28350.26833
613,29531.22827
614,28542.18645
615,28084.70323
616,28390.74756
617,28575.08413
618,29556.95242
619,29564.45029
620,29252.68026
621,29948.64654
622,29252.084
623,28594.29
624,27119.69975
625,24320.30837
626,24184.19574
627,23982.95604
628,23721.14631
629,23651.5288
630,23845.70263
631,24164.56738
632,25636.43441
633,25024.42447
634,24851.07728
635,24389.43834
636,24749.1774
637,25414.78811
638,24593.5521
639,24175.52769
640,24795.17078
641,25020.20612
642,26866.04659
643,28250.93593
644,29887.25502
645,28264.39795
646,27908.84427
647,26690.40767
648,25402.35501
649,24062.75385
650,23923.96007
651,23718.75635
652,23451.78948
653,23380.80065
654,23578.79932
655,23903.94507
656,25404.80495
657,24780.73963
658,24603.97786
659,24133.24554
660,24500.07075
661,25178.79267
662,24341.37994
663,23915.12128
664,24546.9701
665,24776.4382
666,26658.63805
667,28070.80696
668,29739.35829
669,28084.53416
670,27721.97678
671,26479.5394
672,25166.11466
673,24834.35769
674,24753.75382
675,23807.65459
676,23606.88748
677,23265.51491
678,23409.06468
679,24043.69835
680,25550.94844
681,25087.90793
682,25727.05011
683,26592.06966
684,27980.90313
685,29186.53413
686,28176.83055
687,27709.79019
688,28022.228
689,28210.41548
690,29212.79568
691,29220.45019
692,28902.16706
693,29612.67256
694,28901.55834
695,28230.02257
696,26724.62712
697,24854.94764
698,24773.40131
699,23816.23988
700,23613.12532
701,23267.76127
702,23412.98948
703,24055.04357
704,25579.91709
705,25111.4625
706,25758.07781
707,26633.21155
708,28038.28387
709,29258.01164
710,28236.50216
711,27764.00096
712,28080.09193
713,28270.47978
714,29284.58024
715,29292.32426
716,28970.31962
717,29689.13267
718,28969.70379
719,28290.31613
720,26767.31894
721,24752.6257
722,24673.31128
723,23742.34718
724,23544.79182
725,23208.88032
726,23350.13367
727,23974.61486
728,25457.75287
729,25002.1198
730,25631.03737
731,26482.21886
732,27848.83461
733,29035.17866
734,28041.6277
735,27582.05878
736,27889.49839
737,28074.67536
738,29061.02009
739,29068.55215
740,28755.36072
741,29454.49998
742,28754.76174
743,28093.96879
744,26612.65575
745,24448.71209
746,24368.2918
747,23424.34737
748,23224.03753
749,22883.44246
750,23026.66528
751,23659.85354
752,25163.67076
753,24701.68485
754,25339.37134
755,26202.42075
756,27588.09105
757,28790.97614
758,27783.57223
759,27317.59559
760,27629.32179
761,27817.08067
762,28817.17787
763,28824.81495
764,28507.25674
765,29216.14401
766,28506.6494
767,27836.64311
768,26334.6763
769,24383.33754
770,24304.2505
771,23375.95536
772,23178.96637
773,22844.01789
774,22984.86628
775,23607.55716
776,25086.44318
777,24632.11636
778,25259.23089
779,26107.97215
780,27470.66997
781,28653.61291
782,27662.91034
783,27204.65895
784,27511.21717
785,27695.86326
786,28679.38025
787,28686.89072
788,28374.59717
789,29071.73209
790,28373.99991
791,27715.10138
792,26238.03509
793,23502.141
794,23364.46218
795,23160.90691
796,22896.08466
797,22825.66609
798,23022.07419
799,23344.60796
800,24833.41107
801,24214.35902
802,24039.01721
803,23572.06641
804,23935.94482
805,24609.2144
806,23778.52881
807,23355.69439
808,23982.46742
809,24210.09214
810,26077.17181
811,27477.99643
812,29133.14387
813,27491.61335
814,27131.96848
815,25899.51191
816,24596.63823
817,23449.55447
818,23314.5534
819,23114.9571
820,22855.28542
821,22786.23644
822,22978.82457
823,23295.08532
824,24754.93246
825,24147.92045
826,23975.9889
827,23518.11989
828,23874.92117
829,24535.09622
830,23720.56677
831,23305.95613
832,23920.53895
833,24143.73655
834,25974.50309
835,27348.08284
836,28971.03905
837,27361.43492
838,27008.78485
839,25800.29852
840,24522.76465
841,24092.80477
842,24012.08335
843,23064.60446
844,22863.54459
845,22521.67421
846,22665.43331
847,23300.99245
848,24810.4405
849,24346.72475
850,24986.79896
851,25853.07994
852,27243.93868
853,28451.32781
854,27440.15182
855,26972.4304
856,27285.32381
857,27473.78573
858,28477.62765
859,28485.29333
860,28166.54606
861,28878.08766
862,28165.93645
863,27493.42141
864,25985.8307
865,23999.02664
866,23921.52501
867,23011.83879
868,22818.79871
869,22490.56472
870,22628.58961
871,23238.79782
872,24688.0376
873,24242.81836
874,24857.36155
875,25689.08866
876,27024.46938
877,28183.69865
878,27212.85604
879,26763.79091
880,27064.20376
881,27245.14837
882,28208.94945
883,28216.30936
884,27910.27616
885,28593.43607
886,27909.69087
887,27264.00084
888,25816.54431
889,23866.09608
890,23790.96138
891,22909.05723
892,22721.91266
893,22403.70303
894,22537.5126
895,23129.08487
896,24534.06445
897,24102.44234
898,24698.21719
899,25504.54311
900,26799.14091
901,27922.96698
902,26981.77419
903,26546.42364
904,26837.66179
905,27013.0803
906,27947.44661
907,27954.58175
908,27657.89489
909,28320.1909
910,27657.32747
911,27031.35701
912,25628.10623
913,23590.02454
914,23512.55042
915,22603.18712
916,22410.21557
917,22082.09809
918,22220.07399
919,22830.06558
920,24278.79091
921,23833.72972
922,24448.05475
923,25279.48661
924,26614.39329
925,27773.21105
926,26802.71308
927,26353.80735
928,26654.11356
929,26834.99395
930,27798.45289
931,27805.81019
932,27499.88562
933,28182.80302
934,27499.30054
935,26853.83972
936,25406.89702
937,23374.81837
938,23296.27366
939,22374.34425
940,22178.70611
941,21846.05451
942,21985.93704
943,22604.35785
944,24073.10251
945,23621.8912
946,24244.70534
947,25087.6264
948,26440.9796
949,27615.81058
950,26631.9017
951,26176.79274
952,26481.24875
953,26664.62865
954,27641.40122
955,27648.86019
956,27338.70818
957,28031.06253
958,27338.11501
959,26683.73484
960,25216.79744
961,22332.95339
962,22199.06417
963,22001.11175
964,21743.57871
965,21675.09841
966,21866.10039
967,22179.75644
968,23627.58033
969,23025.56765
970,22855.05212
971,22400.95411
972,22754.81678
973,23409.55466
974,22601.73364
975,22190.53771
976,22800.05885
977,23021.41821
978,24837.10663
979,26199.37363
980,27808.96323
981,26212.61574
982,25862.87008
983,24664.3368
984,23397.32465
985,22912.31349
986,22838.15929
987,21967.76398
988,21783.06164
989,21469.00464
990,21601.068
991,22184.92026
992,23571.56487
993,23145.57542
994,23733.57543
995,24529.3788
996,25807.08212
997,26916.24227
998,25987.33203
999,25557.6628
1000,25845.1003
1001,26018.22961
1002,26940.40245
1003,26947.44447
1004,26654.62937
1005,27308.28243
1006,26654.06936
1007,26036.2678
1008,24651.32942
1009,22663.54862
1010,22595.03511
1011,21790.84822
1012,21620.19564
1013,21330.02804
1014,21452.04572
1015,21991.48606
1016,23272.65268
1017,22879.067
1018,23422.33957
1019,24157.60852
1020,25338.12069
1021,26362.91029
1022,25504.65953
1023,25107.67397
1024,25373.24694
1025,25533.20681
1026,26385.23267
1027,26391.73903
1028,26121.19751
1029,26725.1291
1030,26120.6801
1031,25549.87289
1032,24270.28271
1033,22039.10215
1034,21969.09884
1035,21147.42526
1036,20973.06191
1037,20676.58474
1038,20801.25565
1039,21352.42588
1040,22661.45092
1041,22259.30689
1042,22814.39268
1043,23565.64973
1044,24771.83164
1045,25818.90484
1046,24941.99179
1047,24536.37395
1048,24807.72169
1049,24971.15982
1050,25841.71261
1051,25848.36045
1052,25571.93612
1053,26188.99994
1054,25571.40746
1055,24988.1883
1056,23680.77398
1057,21400.7634
1058,21331.17346
1059,20514.35173
1060,20341.01797
1061,20046.29145
1062,20170.2262
1063,20718.14185
1064,22019.4373
1065,21619.66787
1066,22171.47597
1067,22918.29696
1068,24117.35654
1069,25158.24694
1070,24286.51193
1071,23883.2892
1072,24153.03468
1073,24315.50772
1074,25180.92004
1075,25187.52862
1076,24912.73654
1077,25526.15669
1078,24912.211
1079,24332.43565
1080,23032.74142
1081,20025.31763
1082,19912.30906
1083,19745.22822
1084,19527.85864
1085,19470.05816
1086,19631.27251
1087,19896.01245
1088,21118.04156
1089,20609.91552
1090,20465.99267
1091,20082.71333
1092,20381.3895
1093,20934.01799
1094,20252.18037
1095,19905.11234
1096,20419.57586
1097,20606.41321
1098,22138.93668
1099,23288.75189
1100,24647.31861
1101,23299.92884
1102,23004.72762
1103,21993.1111
1104,20923.69531
1105,19488.43296
1106,19385.61917
1107,19233.61112
1108,19035.85099
1109,18983.26483
1110,19129.93563
1111,19370.79272
1112,20482.57954
1113,20020.29282
1114,19889.3536
1115,19540.65085
1116,19812.38269
1117,20315.15719
1118,19694.82985
1119,19379.07169
1120,19847.12417
1121,20017.10646
1122,21411.37717
1123,22457.46467
1124,23693.4717
1125,22467.63332
1126,22199.06294
1127,21278.70687
1128,20305.76575
1129,19223.98145
1130,19118.01347
1131,18961.342
1132,18757.51485
1133,18703.31542
1134,18854.48589
1135,19102.73216
1136,20248.62716
1137,19772.15808
1138,19637.20182
1139,19277.80131
1140,19557.86954
1141,20076.06851
1142,19436.71033
1143,19111.26511
1144,19593.67684
1145,19768.87396
1146,21205.91909
1147,22284.09921
1148,23558.02532
1149,22294.57981
1150,22017.77004
1151,21069.17865
1152,20066.38895
1153,19349.40545
1154,19246.50964
1155,19094.38031
1156,18896.4624
1157,18843.83429
1158,18990.62211
1159,19231.67136
1160,20344.34517
1161,19881.68963
1162,19750.64595
1163,19401.665
1164,19673.61364
1165,20176.78926
1166,19555.967
1167,19239.95693
1168,19708.38283
1169,19878.50073
1170,21273.8838
1171,22320.80589
1172,23557.79902
1173,22330.98265
1174,22062.198
1175,21141.10767
1176,20167.39032
1177,19423.10489
1178,19320.37892
1179,19168.5007
1180,18970.90949
1181,18918.36825
1182,19064.91377
1183,19305.56514
1184,20416.40233
1185,19954.51047
1186,19823.6831
1187,19475.27818
1188,19746.77793
1189,20249.12299
1190,19629.32549
1191,19313.83703
1192,19781.48973
1193,19951.32683
1194,21344.40664
1195,22389.60064
1196,23624.55195
1197,22399.76061
1198,22131.41962
1199,21211.84967
1200,20239.73957
1201,19514.96696
1202,19407.66437
1203,19249.0197
1204,19042.62545
1205,18987.74341
1206,19140.81779
1207,19392.1906
1208,20552.51755
1209,20070.04759
1210,19933.39163
1211,19569.46466
1212,19853.0602
1213,20377.78562
1214,19730.37505
1215,19400.83102
1216,19889.31847
1217,20066.72212
1218,21521.86608
1219,22613.62532
1220,23903.59589
1221,22624.23793
1222,22343.94188
1223,21383.40347
1224,20367.98415
1225,19729.69691
1226,19618.99687
1227,19455.32917
1228,19242.40002
1229,19185.78029
1230,19343.70134
1231,19603.03318
1232,20800.09866
1233,20302.35262
1234,20161.36983
1235,19785.92012
1236,20078.49493
1237,20619.83432
1238,19951.92529
1239,19611.94717
1240,20115.90122
1241,20298.92186
1242,21800.13892
1243,22926.46568
1244,24257.27958
1245,22937.41431
1246,22648.24346
1247,21657.29226
1248,20609.72251
1249,20747.11711
1250,20682.0626
1251,19918.4763
1252,19756.43937
1253,19480.92131
1254,19596.77875
1255,20108.98463
1256,21325.46964
1257,20951.75472
1258,21467.59936
1259,22165.74715
1260,23286.6594
1261,24259.71096
1262,23444.79027
1263,23067.84713
1264,23320.01225
1265,23471.89631
1266,24280.90636
1267,24287.08424
1268,24030.20142
1269,24603.64261
1270,24029.71012
1271,23487.72097
1272,22272.73282
1273,20966.57734
1274,20896.65914
1275,20075.98451
1276,19901.83314
1277,19605.71641
1278,19730.23575
1279,20280.7359
1280,21588.1695
1281,21186.51437
1282,21740.92532
1283,22491.26904
1284,23695.98453
1285,24741.78476
1286,23865.93781
1287,23460.8131
1288,23731.83095
1289,23895.07038
1290,24764.5648
1291,24771.20455
1292,24495.11629
1293,25111.42992
1294,24494.58827
1295,23912.07816
1296,22606.25332
1297,21326.92084
1298,21257.12205
1299,20437.84908
1300,20263.99516
1301,19968.38417
1302,20092.69084
1303,20642.25077
1304,21947.45135
1305,21546.48222
1306,22099.94627
1307,22849.00845
1308,24051.66636
1309,25095.68042
1310,24221.32936
1311,23816.89658
1312,24087.45155
1313,24250.41218
1314,25118.42155
1315,25125.04997
1316,24849.43325
1317,25464.69425
1318,24848.90613
1319,24267.39091
1320,22963.79635
1321,20774.63765
1322,20655.98134
1323,20480.55045
1324,20252.31757
1325,20191.62845
1326,20360.89967
1327,20638.87029
1328,21921.97171
1329,21388.45149
1330,21237.33593
1331,20834.90176
1332,21148.50461
1333,21728.75135
1334,21012.83811
1335,20648.42495
1336,21188.59938
1337,21384.77414
1338,22993.88723
1339,24201.16577
1340,25627.62842
1341,24212.9013
1342,23902.94706
1343,22840.77385
1344,21717.91278
1345,21630.91476
1346,21561.3162
1347,20744.39337
1348,20571.03817
1349,20276.27516
1350,20400.22525
1351,20948.20872
1352,22249.66523
1353,21849.84632
1354,22401.72272
1355,23148.63615
1356,24347.84414
1357,25388.86337
1358,24517.02046
1359,24113.74782
1360,24383.52669
1361,24546.01984
1362,25411.53927
1363,25418.14867
1364,25143.32258
1365,25756.81865
1366,25142.79697
1367,24562.94987
1368,23263.09477
1369,21649.41444
1370,21578.70951
1371,20748.80043
1372,20572.68947
1373,20273.24076
1374,20399.16123
1375,20955.85574
1376,22278.00091
1377,21871.82626
1378,22432.47558
1379,23191.26235
1380,24409.53361
1381,25467.10144
1382,24581.39924
1383,24171.71597
1384,24445.78338
1385,24610.85962
1386,25490.13781
1387,25496.85228
1388,25217.6574
1389,25840.90594
1390,25217.12344
1391,24628.05877
1392,23307.54047
1393,21675.9043
1394,21603.18601
1395,20749.64501
1396,20568.51923
1397,20260.54362
1398,20390.04971
1399,20962.59628
1400,22322.38997
1401,21904.64936
1402,22481.26336
1403,23261.65683
1404,24514.61875
1405,25602.30118
1406,24691.37832
1407,24270.02918
1408,24551.90075
1409,24721.67759
1410,25625.99352
1411,25632.89918
1412,25345.75414
1413,25986.74988
1414,25345.20497
1415,24739.36649
1416,23381.246
1417,21748.08517
1418,21679.99291
1419,20880.75051
1420,20711.14718
1421,20422.76366
1422,20544.03113
1423,21080.15474
1424,22353.4442
1425,21962.27845
1426,22502.21075
1427,23232.95894
1428,24406.21281
1429,25424.70156
1430,24571.7277
1431,24177.18298
1432,24441.12309
1433,24600.09946
1434,25446.88669
1435,25453.35305
1436,25184.47494
1437,25784.69329
1438,25183.96071
1439,24616.66307
1440,23344.94037
1441,21682.99637
1442,21615.32624
1443,20821.03862
1444,20652.48672
1445,20365.89099
1446,20486.40668
1447,21019.20668
1448,22284.60257
1449,21895.86179
1450,22432.44686
1451,23158.66489
1452,24324.64535
1453,25336.82012
1454,24489.13414
1455,24097.03535
1456,24359.33921
1457,24517.33002
1458,25358.86772
1459,25365.29399
1460,25098.08275
1461,25694.58014
1462,25097.57171
1463,24533.79095
1464,23269.9521
1465,20751.25731
1466,20630.66214
1467,20452.36468
1468,20220.40245
1469,20158.72165
1470,20330.75879
1471,20613.2715
1472,21917.33898
1473,21375.10096
1474,21221.51615
1475,20812.50614
1476,21131.23332
1477,21720.96138
1478,20993.35001
1479,20622.98228
1480,21171.98324
1481,21371.36353
1482,23006.76977
1483,24233.77543
1484,25683.54669
1485,24245.70272
1486,23930.68378
1487,22851.1545
1488,21709.9457
1489,20873.12525
1490,20745.00948
1491,20555.59297
1492,20309.16502
1493,20243.63767
1494,20426.40344
1495,20726.53431
1496,22111.92653
1497,21535.87326
1498,21372.71054
1499,20938.19371
1500,21276.79746
1501,21903.30235
1502,21130.31542
1503,20736.85069
1504,21320.08864
1505,21531.90276
1506,23269.2968
1507,24572.82142
1508,26113.00385
1509,24585.49253
1510,24250.82826
1511,23103.97698
1512,21891.59972
1513,22092.5799
1514,22018.0106
1515,21142.74312
1516,20957.00688
1517,20641.19189
1518,20773.9945
1519,21361.11497
1520,22755.52155
1521,22327.14755
1522,22918.43898
1523,23718.69699
1524,25003.55246
1525,26118.92132
1526,25184.81136
1527,24752.73698
1528,25041.78346
1529,25215.88188
1530,26143.21673
1531,26150.29818
1532,25855.844
1533,26513.15598
1534,25855.28085
1535,25234.02105
1536,23841.33025
1537,22434.22971
1538,22359.91806
1539,21487.67478
1540,21302.58029
1541,20987.8565
1542,21120.20025
1543,21705.29211
1544,23094.88078
1545,22667.98689
1546,23257.23531
1547,24054.72829
1548,25335.14436
1549,26446.65943
1550,25515.77698
1551,25085.19549
1552,25373.24326
1553,25546.74015
1554,26470.8709
1555,26477.92787
1556,26184.49108
1557,26839.53194
1558,26183.92988
1559,25564.81664
1560,24176.93783
1561,22811.10956
1562,22737.78723
1563,21877.15617
1564,21694.52586
1565,21383.992
1566,21514.57385
1567,22091.87635
1568,23462.96534
1569,23041.75472
1570,23623.15843
1571,24410.03434
1572,25673.40415
1573,26770.12155
1574,25851.63199
1575,25426.78286
1576,25710.99584
1577,25882.18295
1578,26794.01069
1579,26800.97371
1580,26511.44347
1581,27157.76373
1582,26510.88974
1583,25900.01879
1584,24530.6169
1585,23124.39004
1586,23054.83393
1587,22238.4094
1588,22065.15993
1589,21770.57672
1590,21894.45121
1591,22442.10042
1592,23742.76309
1593,23343.18806
1594,23894.72783
